cell,guide,guide_type,x_true_log2_mean,x_log2fc,y_logcounts
CA1_018,CA1,CRISPRa,5.792517,0.14866114,4.906890595608519
CA1_019,CA1,CRISPRa,6.0950017,0.45114565,6.247927513443585
CA1_020,CA1,CRISPRa,6.2061567,0.5623007,6.78135971352466
CA1_021,CA1,CRISPRa,6.102567,0.45871115,5.672425341971495
CA1_022,CA1,CRISPRa,6.0993347,0.45547867,1.584962500721156
CA1_023,CA1,CRISPRa,5.954526,0.3106699,6.087462841250339
CA1_024,CA1,CRISPRa,6.116477,0.47262096,3.807354922057604
CA1_025,CA1,CRISPRa,5.973665,0.3298092,6.584962500721156
CA1_026,CA1,CRISPRa,5.95271,0.3088541,1.584962500721156
CA1_027,CA1,CRISPRa,6.072722,0.4288659,4.643856189774724
CA1_028,CA1,CRISPRa,5.9054914,0.2616353,4.0
CA1_029,CA1,CRISPRa,6.195322,0.551466,5.357552004618084
CA1_030,CA1,CRISPRa,5.8025446,0.15868855,5.129283016944966
CA1_031,CA1,CRISPRa,6.037772,0.39391613,2.807354922057604
CA1_032,CA1,CRISPRa,6.2201686,0.57631254,4.857980995127572
CA1_033,CA1,CRISPRa,5.9128695,0.2690134,6.426264754702098
CA1_034,CA1,CRISPRa,5.9168577,0.27300167,7.20945336562895
CA1_035,CA1,CRISPRa,6.287081,0.6432247,3.700439718141092
CA1_036,CA1,CRISPRa,6.256188,0.61233187,3.321928094887362
CA1_037,CA1,CRISPRa,6.0113926,0.36753654,4.643856189774724
CA1_038,CA1,CRISPRa,6.0189905,0.37513447,5.087462841250339
CA1_039,CA1,CRISPRa,5.9719734,0.32811737,3.0
CA2_000,CA2,CRISPRa,6.3487434,0.7048874,3.169925001442312
CA2_001,CA2,CRISPRa,6.5760875,0.9322314,2.807354922057604
CA2_002,CA2,CRISPRa,6.571669,0.92781305,2.807354922057604
CA2_003,CA2,CRISPRa,6.6374726,0.9936166,1.0
CA2_004,CA2,CRISPRa,6.696324,1.0524678,2.321928094887362
CA2_005,CA2,CRISPRa,6.7824025,1.1385465,2.0
CA2_006,CA2,CRISPRa,6.617236,0.9733801,2.321928094887362
CA2_007,CA2,CRISPRa,6.535388,0.89153194,3.4594316186372973
CA2_008,CA2,CRISPRa,6.441186,0.7973299,3.169925001442312
CA2_009,CA2,CRISPRa,6.788282,1.1444259,2.321928094887362
CA2_010,CA2,CRISPRa,6.519438,0.87558174,2.0
CA2_011,CA2,CRISPRa,6.529053,0.88519716,3.169925001442312
CA2_012,CA2,CRISPRa,6.514251,0.8703952,1.584962500721156
CA2_013,CA2,CRISPRa,6.7910695,1.1472135,2.584962500721156
CA2_014,CA2,CRISPRa,6.5073986,0.86354256,3.0
CA2_015,CA2,CRISPRa,6.4846916,0.8408356,3.169925001442312
CA2_016,CA2,CRISPRa,6.480321,0.8364649,2.807354922057604
CA2_017,CA2,CRISPRa,6.6775193,1.0336633,3.0
CA2_018,CA2,CRISPRa,6.42472,0.78086376,2.321928094887362
CA2_019,CA2,CRISPRa,6.6381087,0.9942527,2.321928094887362
CA2_020,CA2,CRISPRa,6.4617653,0.81790924,2.584962500721156
CA2_021,CA2,CRISPRa,6.8884416,1.2445855,2.0
CA2_022,CA2,CRISPRa,6.4250393,0.78118324,2.321928094887362
CA2_023,CA2,CRISPRa,6.782362,1.1385059,1.584962500721156
CA2_024,CA2,CRISPRa,6.5413847,0.89752865,4.857980995127572
CA2_025,CA2,CRISPRa,6.6974483,1.0535922,1.584962500721156
CA2_026,CA2,CRISPRa,6.663613,1.0197568,3.169925001442312
CA2_027,CA2,CRISPRa,6.351946,0.7080898,3.169925001442312
CA2_028,CA2,CRISPRa,6.376432,0.7325759,1.584962500721156
CA2_029,CA2,CRISPRa,6.6785603,1.0347042,3.169925001442312
CA2_030,CA2,CRISPRa,6.6952405,1.0513844,2.321928094887362
CA2_031,CA2,CRISPRa,6.5380344,0.8941784,3.4594316186372973
CA2_032,CA2,CRISPRa,6.393825,0.749969,3.0
CA2_033,CA2,CRISPRa,6.8936467,1.2497907,3.0
CA2_034,CA2,CRISPRa,6.333092,0.68923616,3.4594316186372973
CA2_035,CA2,CRISPRa,6.7097654,1.0659094,3.4594316186372973
CA2_036,CA2,CRISPRa,6.6010675,0.9572115,2.0
CA2_037,CA2,CRISPRa,6.6798663,1.0360103,0.0
CA2_038,CA2,CRISPRa,6.417131,0.7732749,3.0
CA2_039,CA2,CRISPRa,6.708657,1.0648007,2.321928094887362
