cell,guide,guide_type,x_logcounts,x_true_log2_mean,x_true_log2_sd,x_true_log2fc,x_underlying_log2
KO1_023,KO1,CRISPRi,2.807354922057604,3.5639343,0.0,-2.0799217,3.6902884543880687
KO1_024,KO1,CRISPRi,3.9068905956085187,3.6591055,0.0,-1.9847505,3.6671933516028705
KO1_025,KO1,CRISPRi,3.169925001442312,3.585699,0.0,-2.058157,3.6875939091205274
KO1_026,KO1,CRISPRi,4.087462841250339,3.7461922,0.0,-1.8976638,3.8181419453643626
KO1_027,KO1,CRISPRi,3.169925001442312,3.6130018,0.0,-2.0308542,3.6885752995296612
KO1_028,KO1,CRISPRi,2.807354922057604,3.5399024,0.0,-2.1039536,3.7796389023891037
KO1_029,KO1,CRISPRi,3.9068905956085187,3.7164488,0.0,-1.9274073,3.6573720036725033
KO1_030,KO1,CRISPRi,3.169925001442312,3.5849984,0.0,-2.0588577,3.7016800695127214
KO1_031,KO1,CRISPRi,3.321928094887362,3.5964353,0.0,-2.0474207,3.770113834942433
KO1_032,KO1,CRISPRi,4.169925001442312,3.7773404,0.0,-1.8665156,3.3524250258035915
KO1_033,KO1,CRISPRi,3.169925001442312,3.605104,0.0,-2.038752,3.5799219465032643
KO1_034,KO1,CRISPRi,4.087462841250339,3.7523162,0.0,-1.8915398,3.5497816589161655
KO1_035,KO1,CRISPRi,3.4594316186372973,3.6482787,0.0,-1.9955773,3.5160806201260564
KO1_036,KO1,CRISPRi,2.807354922057604,3.5226865,0.0,-2.1211696,3.588827739529388
KO1_037,KO1,CRISPRi,3.4594316186372973,3.668698,0.0,-1.975158,3.942844452021604
KO1_038,KO1,CRISPRi,3.9068905956085187,3.6770935,0.0,-1.9667625,3.470689966636076
KO1_039,KO1,CRISPRi,3.584962500721156,3.6584868,0.0,-1.9853692,3.837511860693021
KO2_000,KO2,CRISPRi,4.247927513443585,4.117297,0.0,-1.5265589,3.9853541405642017
KO2_001,KO2,CRISPRi,3.807354922057604,4.0407543,0.0,-1.6031017,4.254951088890207
KO2_002,KO2,CRISPRi,1.584962500721156,3.796681,0.0,-1.8471751,4.354478707908363
KO2_003,KO2,CRISPRi,4.0,4.09513,0.0,-1.5487261,4.439172561159218
KO2_004,KO2,CRISPRi,3.4594316186372973,3.9459336,0.0,-1.6979225,4.464173410845934
KO2_005,KO2,CRISPRi,4.321928094887363,4.1688085,0.0,-1.4750476,4.480597541927348
KO2_006,KO2,CRISPRi,4.247927513443585,4.1437325,0.0,-1.5001235,4.252183080437675
KO2_007,KO2,CRISPRi,3.584962500721156,3.982107,0.0,-1.6617491,4.229457736354449
KO2_008,KO2,CRISPRi,5.044394119358453,4.3645988,0.0,-1.2792573,4.493523271138794
KO2_009,KO2,CRISPRi,4.087462841250339,4.1020765,0.0,-1.5417795,4.28366722991104
KO2_010,KO2,CRISPRi,4.807354922057604,4.2425594,0.0,-1.4012966,4.066790830219778
KO2_011,KO2,CRISPRi,4.954196310386875,4.346986,0.0,-1.2968702,4.095270652086667
KO2_012,KO2,CRISPRi,3.4594316186372973,3.9565084,0.0,-1.6873477,4.138037637687041
KO2_013,KO2,CRISPRi,4.807354922057604,4.317998,0.0,-1.3258581,4.421360243698116
KO2_014,KO2,CRISPRi,4.523561956057013,4.186702,0.0,-1.4571543,4.350413242101475
KO2_015,KO2,CRISPRi,5.044394119358453,4.374048,0.0,-1.2698078,4.460025165700916
KO2_016,KO2,CRISPRi,4.087462841250339,4.0583425,0.0,-1.5855136,4.2364775656200555
KO2_017,KO2,CRISPRi,4.523561956057013,4.250007,0.0,-1.3938489,4.353636033102705
KO2_018,KO2,CRISPRi,4.584962500721156,4.201425,0.0,-1.442431,4.44704617368083
KO2_019,KO2,CRISPRi,4.857980995127572,4.289485,0.0,-1.3543711,4.260058786943315
KO2_020,KO2,CRISPRi,4.169925001442312,4.1274147,0.0,-1.5164413,4.413283142398845
KO2_021,KO2,CRISPRi,3.9068905956085187,4.0614104,0.0,-1.5824456,4.189542906674032
KO2_022,KO2,CRISPRi,3.0,3.932946,0.0,-1.7109101,4.249317325574348
KO2_023,KO2,CRISPRi,4.392317422778761,4.196744,0.0,-1.4471121,4.2455805160876965
KO2_024,KO2,CRISPRi,3.9068905956085187,4.0727925,0.0,-1.5710635,4.082760165769555
KO2_025,KO2,CRISPRi,3.169925001442312,3.947889,0.0,-1.695967,4.419322591044479
KO2_026,KO2,CRISPRi,4.321928094887363,4.140307,0.0,-1.5035491,4.228047626846818
KO2_027,KO2,CRISPRi,4.754887502163468,4.3374453,0.0,-1.3064108,4.3244269186329
KO2_028,KO2,CRISPRi,4.0,4.046605,0.0,-1.5972509,4.418077426668544
KO2_029,KO2,CRISPRi,4.954196310386875,4.3530426,0.0,-1.2908134,4.411234330093351
KO2_030,KO2,CRISPRi,4.0,4.0571175,0.0,-1.5867386,4.45500511668192
KO2_031,KO2,CRISPRi,4.584962500721156,4.24678,0.0,-1.3970761,4.302230997985478
KO2_032,KO2,CRISPRi,3.9068905956085187,4.040573,0.0,-1.6032829,4.2372684324785315
KO2_033,KO2,CRISPRi,3.700439718141092,4.04925,0.0,-1.5946059,4.305984452706083
KO2_034,KO2,CRISPRi,2.807354922057604,3.9034903,0.0,-1.7403657,3.9844612080957567
KO2_035,KO2,CRISPRi,4.643856189774724,4.264804,0.0,-1.3790522,4.032505600402745
KO2_036,KO2,CRISPRi,4.169925001442312,4.107205,0.0,-1.5366511,4.057388172416482
KO2_037,KO2,CRISPRi,4.0,4.09009,0.0,-1.5537663,4.122478729367066
KO2_038,KO2,CRISPRi,5.247927513443585,4.399659,0.0,-1.2441969,4.40188294023205
KO2_039,KO2,CRISPRi,4.643856189774724,4.284325,0.0,-1.3595309,4.14083228381535
KO3_000,KO3,CRISPRi,5.044394119358453,4.7349253,0.0,-0.9089308,4.83125808480064
KO3_001,KO3,CRISPRi,4.584962500721156,4.6736956,0.0,-0.9701605,5.166736255165731
KO3_002,KO3,CRISPRi,4.087462841250339,4.5149684,0.0,-1.1288877,4.835637801396233
KO3_003,KO3,CRISPRi,4.700439718141092,4.72735,0.0,-0.9165058,5.054393709301936
KO3_004,KO3,CRISPRi,4.584962500721156,4.6460896,0.0,-0.9977665,4.720167059606544
KO3_005,KO3,CRISPRi,5.321928094887363,4.87011,0.0,-0.773746,4.865803084034993
KO3_006,KO3,CRISPRi,4.087462841250339,4.502783,0.0,-1.1410732,4.716886184626403
KO3_007,KO3,CRISPRi,5.129283016944966,4.8077707,0.0,-0.8360853,4.8390839804284065
KO3_008,KO3,CRISPRi,4.523561956057013,4.5863013,0.0,-1.0575547,5.074952223099998
KO3_009,KO3,CRISPRi,4.700439718141092,4.6873646,0.0,-0.9564915,4.561426510970049
KO3_010,KO3,CRISPRi,5.087462841250339,4.720764,0.0,-0.9230919,4.99377532431769
KO3_011,KO3,CRISPRi,4.754887502163468,4.688489,0.0,-0.9553671,4.954437716074974
KO3_012,KO3,CRISPRi,5.321928094887363,4.7737746,0.0,-0.8700814,4.78806060446916
KO3_013,KO3,CRISPRi,3.700439718141092,4.475069,0.0,-1.168787,4.617679024730828
KO3_014,KO3,CRISPRi,4.700439718141092,4.646713,0.0,-0.99714327,4.921316497151293
KO3_015,KO3,CRISPRi,4.247927513443585,4.6126604,0.0,-1.0311956,4.800992053795758
KO3_016,KO3,CRISPRi,5.087462841250339,4.766419,0.0,-0.8774371,4.953425837879459
KO3_017,KO3,CRISPRi,4.807354922057604,4.694242,0.0,-0.94961405,4.911261024713207
KO3_018,KO3,CRISPRi,5.044394119358453,4.7147284,0.0,-0.9291277,5.227246373872702
KO3_019,KO3,CRISPRi,4.643856189774724,4.6471934,0.0,-0.9966626,4.859019470113914
KO3_020,KO3,CRISPRi,5.247927513443585,4.7762704,0.0,-0.86758566,4.702191097084146
KO3_021,KO3,CRISPRi,4.754887502163468,4.703203,0.0,-0.94065285,4.942745722599782
KO3_022,KO3,CRISPRi,4.459431618637297,4.6214695,0.0,-1.0223866,4.9508899324028715
KO3_023,KO3,CRISPRi,5.357552004618084,4.87822,0.0,-0.76563597,5.178728110656606
KO3_024,KO3,CRISPRi,4.392317422778761,4.5761466,0.0,-1.0677094,5.073912844791434
KO3_025,KO3,CRISPRi,5.169925001442312,4.815611,0.0,-0.82824516,4.97826480743842
KO3_026,KO3,CRISPRi,5.857980995127572,4.9784856,0.0,-0.66537046,5.199551173852431
KO3_027,KO3,CRISPRi,4.459431618637297,4.656062,0.0,-0.9877939,4.669137984743949
KO3_028,KO3,CRISPRi,4.954196310386875,4.6894507,0.0,-0.9544053,4.7789402890585695
KO3_029,KO3,CRISPRi,4.754887502163468,4.678677,0.0,-0.96517897,4.721575407327414
KO3_030,KO3,CRISPRi,3.807354922057604,4.472164,0.0,-1.1716919,4.828928634977365
KO3_031,KO3,CRISPRi,4.087462841250339,4.5595026,0.0,-1.0843534,4.631553366097257
KO3_032,KO3,CRISPRi,5.044394119358453,4.723312,0.0,-0.92054415,5.033920784971399
KO3_033,KO3,CRISPRi,5.044394119358453,4.7565107,0.0,-0.8873453,4.862446056188764
KO3_034,KO3,CRISPRi,4.247927513443585,4.523027,0.0,-1.1208291,4.612729336707988
KO3_035,KO3,CRISPRi,3.584962500721156,4.456041,0.0,-1.1878152,4.70377477936701
KO3_036,KO3,CRISPRi,3.9068905956085187,4.4871917,0.0,-1.1566644,4.969593365098557
KO3_037,KO3,CRISPRi,5.807354922057604,5.057498,0.0,-0.5863581,5.074515909187395
KO3_038,KO3,CRISPRi,5.169925001442312,4.7573314,0.0,-0.8865247,5.306236773946876
KO3_039,KO3,CRISPRi,6.0,5.127759,0.0,-0.51609707,5.489663088809984
CA1_000,CA1,CRISPRa,5.321928094887363,5.835741,0.0,0.191885,6.31170057715108
CA1_001,CA1,CRISPRa,6.20945336562895,6.06682,0.0,0.4229641,6.030911066489508
CA1_002,CA1,CRISPRa,6.539158811108031,6.1131477,0.0,0.4692917,5.802409434349618
CA1_003,CA1,CRISPRa,6.189824558880018,6.048917,0.0,0.40506077,6.282360982964647
CA1_004,CA1,CRISPRa,6.066089190457772,5.9715962,0.0,0.3277402,6.0662304714338156
CA1_005,CA1,CRISPRa,6.108524456778169,6.01813,0.0,0.37427378,6.145747238459943
CA1_006,CA1,CRISPRa,5.523561956057013,5.8731513,0.0,0.22929525,6.106399330683919
CA1_007,CA1,CRISPRa,4.807354922057604,5.767754,0.0,0.12389803,6.200660513212603
CA1_008,CA1,CRISPRa,6.266786540694901,6.0172243,0.0,0.37336826,6.442014736653409
CA1_009,CA1,CRISPRa,6.22881869049588,6.0410542,0.0,0.3971982,6.260228403984949
CA1_010,CA1,CRISPRa,6.189824558880018,6.0059724,0.0,0.36211634,6.197091723088143
CA1_011,CA1,CRISPRa,5.857980995127572,5.9809027,0.0,0.33704662,6.021687939930718
CA1_012,CA1,CRISPRa,5.930737337562887,5.9546785,0.0,0.3108225,5.893882101555009
CA1_013,CA1,CRISPRa,5.614709844115208,5.9017124,0.0,0.25785637,6.131557108681214
CA1_014,CA1,CRISPRa,6.554588851677638,6.0851226,0.0,0.44126654,6.2180621803322165
CA1_015,CA1,CRISPRa,5.954196310386875,5.9787817,0.0,0.33492565,6.582404673211857
CA1_016,CA1,CRISPRa,6.022367813028454,5.9774055,0.0,0.3335495,6.254873594790458
CA1_017,CA1,CRISPRa,6.3750394313469245,6.107458,0.0,0.46360207,6.425366592700492
CA1_018,CA1,CRISPRa,5.20945336562895,5.792517,0.0,0.14866114,6.12895957078805
CA1_019,CA1,CRISPRa,6.303780748177103,6.0950017,0.0,0.45114565,5.991829937212476
CA1_020,CA1,CRISPRa,6.832890014164741,6.2061567,0.0,0.5623007,6.035795338049406
CA1_021,CA1,CRISPRa,6.3750394313469245,6.102567,0.0,0.45871115,6.08377347758873
CA1_022,CA1,CRISPRa,6.409390936137702,6.0993347,0.0,0.45547867,6.654512636982913
CA1_023,CA1,CRISPRa,5.832890014164741,5.954526,0.0,0.3106699,6.064541354651003
CA1_024,CA1,CRISPRa,6.599912842187128,6.116477,0.0,0.47262096,6.396516531243149
CA1_025,CA1,CRISPRa,5.832890014164741,5.973665,0.0,0.3298092,6.048233254878475
CA1_026,CA1,CRISPRa,5.832890014164741,5.95271,0.0,0.3088541,6.415133293070729
CA1_027,CA1,CRISPRa,6.321928094887363,6.072722,0.0,0.4288659,6.305808883717053
CA1_028,CA1,CRISPRa,5.78135971352466,5.9054914,0.0,0.2616353,6.197491110964262
CA1_029,CA1,CRISPRa,6.6865005271832185,6.195322,0.0,0.551466,6.220666185268794
CA1_030,CA1,CRISPRa,5.247927513443585,5.8025446,0.0,0.15868855,6.097861151410003
CA1_031,CA1,CRISPRa,6.044394119358453,6.037772,0.0,0.39391613,6.318033130792297
CA1_032,CA1,CRISPRa,6.977279923499917,6.2201686,0.0,0.57631254,6.137821994427725
CA1_033,CA1,CRISPRa,5.643856189774724,5.9128695,0.0,0.2690134,5.98369753774243
CA1_034,CA1,CRISPRa,5.700439718141092,5.9168577,0.0,0.27300167,5.973231175631956
CA1_035,CA1,CRISPRa,6.930737337562887,6.287081,0.0,0.6432247,6.263336274040304
CA1_036,CA1,CRISPRa,6.965784284662087,6.256188,0.0,0.61233187,6.544636941777967
CA1_037,CA1,CRISPRa,6.087462841250339,6.0113926,0.0,0.36753654,6.260817013210568
CA1_038,CA1,CRISPRa,6.20945336562895,6.0189905,0.0,0.37513447,6.205091025273904
CA1_039,CA1,CRISPRa,5.727920454563199,5.9719734,0.0,0.32811737,6.285983918416389
CA2_000,CA2,CRISPRa,5.807354922057604,6.3487434,0.0,0.7048874,6.9050565381160895
CA2_001,CA2,CRISPRa,6.539158811108031,6.5760875,0.0,0.9322314,6.687732690047496
CA2_002,CA2,CRISPRa,6.754887502163468,6.571669,0.0,0.92781305,6.561670743607977
CA2_003,CA2,CRISPRa,6.754887502163468,6.6374726,0.0,0.9936166,6.865113931786702
CA2_004,CA2,CRISPRa,7.098032082960526,6.696324,0.0,1.0524678,6.729607477467047
CA2_005,CA2,CRISPRa,7.159871336778389,6.7824025,0.0,1.1385465,6.951007388173923
CA2_006,CA2,CRISPRa,6.954196310386875,6.617236,0.0,0.9733801,6.680503077219106
CA2_007,CA2,CRISPRa,6.409390936137702,6.535388,0.0,0.89153194,6.398962383430624
CA2_008,CA2,CRISPRa,6.285402218862249,6.441186,0.0,0.7973299,6.370224349925591
CA2_009,CA2,CRISPRa,7.219168520462161,6.788282,0.0,1.1444259,6.974041776220974
CA2_010,CA2,CRISPRa,6.714245517666122,6.519438,0.0,0.87558174,6.988589333931384
CA2_011,CA2,CRISPRa,6.22881869049588,6.529053,0.0,0.88519716,6.6079523471182045
CA2_012,CA2,CRISPRa,6.672425341971495,6.514251,0.0,0.8703952,6.5672187255475265
CA2_013,CA2,CRISPRa,7.169925001442312,6.7910695,0.0,1.1472135,6.936145048223165
CA2_014,CA2,CRISPRa,6.523561956057013,6.5073986,0.0,0.86354256,6.422447053366027
CA2_015,CA2,CRISPRa,6.0,6.4846916,0.0,0.8408356,6.464910785983559
CA2_016,CA2,CRISPRa,6.409390936137702,6.480321,0.0,0.8364649,6.772521548712533
CA2_017,CA2,CRISPRa,6.954196310386875,6.6775193,0.0,1.0336633,6.564935165202806
CA2_018,CA2,CRISPRa,6.285402218862249,6.42472,0.0,0.78086376,6.64283181643071
CA2_019,CA2,CRISPRa,6.768184324776926,6.6381087,0.0,0.9942527,6.611167610069822
CA2_020,CA2,CRISPRa,6.339850002884624,6.4617653,0.0,0.81790924,6.711371099534511
CA2_021,CA2,CRISPRa,7.531381460516312,6.8884416,0.0,1.2445855,6.925352562037467
CA2_022,CA2,CRISPRa,6.266786540694901,6.4250393,0.0,0.78118324,6.661973171155074
CA2_023,CA2,CRISPRa,7.2761244052742375,6.782362,0.0,1.1385059,6.772643948430096
CA2_024,CA2,CRISPRa,6.507794640198696,6.5413847,0.0,0.89752865,6.23382176956852
CA2_025,CA2,CRISPRa,6.882643049361842,6.6974483,0.0,1.0535922,6.634112509388701
CA2_026,CA2,CRISPRa,7.044394119358453,6.663613,0.0,1.0197568,6.47521013571615
CA2_027,CA2,CRISPRa,5.727920454563199,6.351946,0.0,0.7080898,6.400093577689999
CA2_028,CA2,CRISPRa,5.930737337562887,6.376432,0.0,0.7325759,6.468225716388974
CA2_029,CA2,CRISPRa,6.741466986401147,6.6785603,0.0,1.0347042,6.577031501634562
CA2_030,CA2,CRISPRa,7.247927513443585,6.6952405,0.0,1.0513844,6.827036698245927
CA2_031,CA2,CRISPRa,6.523561956057013,6.5380344,0.0,0.8941784,6.378577646226812
CA2_032,CA2,CRISPRa,6.0,6.393825,0.0,0.749969,6.649982488293608
CA2_033,CA2,CRISPRa,7.531381460516312,6.8936467,0.0,1.2497907,6.547022303108009
CA2_034,CA2,CRISPRa,5.727920454563199,6.333092,0.0,0.68923616,6.578321570902332
CA2_035,CA2,CRISPRa,6.965784284662087,6.7097654,0.0,1.0659094,6.844407754835645
CA2_036,CA2,CRISPRa,6.794415866350106,6.6010675,0.0,0.9572115,6.75147927717551
CA2_037,CA2,CRISPRa,6.94251450533924,6.6798663,0.0,1.0360103,6.911335811263273
CA2_038,CA2,CRISPRa,6.247927513443585,6.417131,0.0,0.7732749,6.612955053924744
CA2_039,CA2,CRISPRa,6.965784284662087,6.708657,0.0,1.0648007,6.504667667440584
